id,review,Usa,Sup,Dep,Per
147,I will cry if I don't get my pictures back. my most meaningful pictures. gone. how could this happen you guys need to FIX this NOW. I want my pictures back. It is such a devastating and heart breaking feeling to loose such meaningful pictures. Please. FIX THIS NOW     ,0,0,0,0
148,I will not regret getting this app. Most useful.    ,0,0,0,0
149,"I wish I could give this 0 stars, they def should be more clear when saying 1.99 a month that they are gonna charge you 24 for the whole year up front This app is definitely not worth 24 never would've paid that if I knew     ",0,0,0,0
150,"I would've given it five stars, but the ridiculous ads that take up my entire screen just make me want to install a different app.     ",1,0,0,0
151,I'm enjoying the app    ,0,0,0,0
152,I'm one of those that deletes app ever other week or so.     ,0,0,0,0
153,I've been a user for about 3 years now After numerous improvements and bug fixes to keep the user happy Keepsafe has finally done it it's perfect I couldn't ask for a better app Definitely has saved my life many times lol.    ,0,0,0,0
154,I've been using this app for a couple years now and it's just been an awesome way to keep my private photos private    ,0,0,0,0
155,I've Been with keep safe from the begging. I'm extremely furious at the fact that ALL OF MY STUFF WAS DELETED WITHOUT MY PERMISSION.    ,0,0,1,0
156,I've had it for years. Super helpful to separate photos that I don't want out in the open when I flick through my camera roll    ,0,0,0,0
157,I've had this app to store my secondary photo album and I absolutely love it    ,0,0,0,0
158,I've just used the free version and it does everything I need. All my stuff is backed up to the cloud so even if I switch devices I still have them. Constant updates. Never really had issues with any bugs. If the paid subscription was cheaper I would let mind paying for the extras. But too much imo.    ,0,0,1,0
159,I've used it for quite a while and it has been fantastic. Touch ID is an added plus    ,0,0,0,0
160,If you need an app that will store your private pictures and is password protected this app does just that. You can even delete pictures from your camera reel after importing them into Keepsafe. So I thought that was a pretty neat feature too.    ,0,0,0,0
161,"Instead of making every attribute to keepsafe only recoverable with premium, you guys should sell them individually because I would most definitely pay 1.99 each time I need to recover things in the trash.  I would never pay 23.99 a year for that and I am probably speaking for every other user of keepsafe. Just a point you guys should act on.     ",0,0,0,0
162,It don't save the pictures all the time and if it do they delete them..    ,0,0,1,0
163,It is a good app but I would suggest not putting anything on there that can expose person information or intimate pictures it's a app they can access that stuff. Also before you delete make sure to back everything up outside the app so you loose nothing be careful with this app but there is good things to like the secret door or the picture taking of hackers    ,0,0,0,0
164,It is better thin the other App out there and it's simple to use.    ,0,0,0,0
165,It is perfect for hiding pictures or ever just for extra storage. Has many great features    ,0,0,0,0
166,It is really good ... I love that I can keep my pictures in it save and sound ...    ,0,0,0,0
167,It keeps all my private photos together nicely. It is effortless to uploadshare to app. Simple and easy. I think anyone can do successfully. Great app. 5 stars without question I wish all apps were this good    ,0,0,0,0
168,It says I can pay 1.99 monthly which I'm trying to buy for one month to see how I like it but it's forcing me to have to pay 23.99     ,0,0,0,0
169,It was really nice to get this apps I like it so much and I advise you all to have it in ur phones    ,0,0,0,0
170,"It works great so far, but could be even better with future updates. Wish the free version had more features    ",0,0,0,0
171,It works like it should and it's easy to use. Can't get any better than that.    ,0,0,0,0
172,It works so well. Setup is simple and now I have a private space on my phone    ,0,0,0,0
173,"It's a good app for its purpose my only problem is that, getting photos back you delete or accidentally get deleted shouldn't be a premium options     ",0,0,0,0
174,It's a great way for me to store Keyerra's boyfriend's  in my phone     ,0,0,0,0
175,"It's a really good app,  finally found a good app that will actually had my photos so nobod else can see them and it actually works I'm very please with this app    ",0,0,0,0
176,It's an awesome app for secure photos    ,0,0,0,0
177,"It's nice when something works as advertised. I didn't need or want anything fancy, just wanted something that works...and this does    ",0,0,0,0
178,"It's the best app I've used to store my pictures, I've upgraded to the pay one and don't regret it    ",0,0,0,0
179,It's very helpful and organized    ,0,0,0,0
180,It's very useful in keeping private the important documents    ,0,0,0,0
181,It's worth to sign up to be a premium member..it's sure saves me from headache..    ,0,0,0,0
182,Keep all pics organized and safe    ,0,0,0,0
183,Keepsafe is wonderful All my photos are not just out for public view when others are using my phone.    ,0,0,0,0
184,"Keepsafe puts your files in their cloud WITHOUT ALERTING YOU, then does NOT give you the option to remove them from the cloud. In other words they have permission to steal your private files. They have refused to respond to my requests for help in deleting files off the cloud. DO. NOT. USE.     ",0,0,0,0
185,Long time user. Pretty easy to use and nice option to keep things precious to you safe. Worth the upgrade for the premium options.    ,0,0,0,0
186,"Lost everything I had on this app, support group said to update my iPhone, I did with no help plus the update I hate. No way I can replace my kids photos.    ",0,0,1,0
187,LOVE is an understatement. Perfect for hiding pictures and videos. Love the passcode lock. Seriously considering upgrading to the premium. It's beyond worth it    ,0,0,0,0
188,"Love it, great app love the cloud feature and back up    ",0,0,0,0
189,"Love it, this is the best app for photos    ",0,0,0,0
190,"Love the app hate all the ads that pop up And also wondering if it can retrieve old videos from old phone, the pix came threw but not the videos    ",0,0,0,0
191,Love the security it offers and the space saving features.    ,0,0,0,0
192,Love this app  Had the free version for a while but bought the premium a few months ago and love it.    ,0,0,0,0
193,Love this app Never crashes and does what it says    ,0,0,0,0
194,"Love this app, it is perfect for my needs and I've tried a lot of apps and this is by far my favorite    ",0,0,0,0
195,Love this app. I have had a few locked photos app and this one by far is the best.    ,0,0,0,0
196,Love this appp Nothing is better then this     ,0,0,0,0
197,Make sure you double check that your photos are there after transferring them from your photo gallery before permanently deleted them. This POS app lost my pics. Ive been using this app for years and now I'm canning it    ,0,0,1,0
198,"Makes it very easy to keep pictures videos not only private, but easily organized. One of my most useful apps.    ",0,0,0,0
199,I have had this app for years. Still no complaints    ,0,0,0,0
200,Keepsafe is such a great app.    ,0,0,0,0
201,"Great app, does exactly what it's supposed to. Seamless Sharing between all devices.    ",0,0,0,0
202,Keeps all of my personal files out of reach of someone who might be borrowing my phone and scrolls too far...    ,0,0,0,0
203,Es una app verstil y muy rpida    ,0,0,0,0
204,"Its nice to know there is a secure place to put documents on my phone that wont mistakenly be opened by anyone. My grandkids cant access or delete, nice    ",0,0,0,0
205,"DELETED HALF MY PICS, BOUGHT PREMIUM TO GET THEM BACK.   DELETED THE NEXT HALF AND NOW CANT GET OFF PREMIUM.  PLEASE KEEPSAFE EMAIL ME HELP ME I AM BEGGING YOU.  YOU TOOK ALL MY PHOTOS AND NOW MY MONEY    ",0,0,1,0
206,"No complaints, been using it for years now    ",0,0,0,0
207,Its not letting me import files from my gallery to the apps cloud yet it tells me I still have a lot of available space on the cloud... it was great until it stopped working     ,1,0,1,0
208,Takes up a lot of space on phone but very useful for storing photos and videos on your phone without having to have them in your camera roll.    ,0,0,0,1
209,"Ive never had any problems, works great    ",0,0,0,0
210,The most complete app for hide photos    ,0,0,0,0
211,Love it had it for about 4 years on 3 phones this app is very safe and doesn't fail me one bit    ,0,0,0,0
212,I really like this app.It keeps all my photos saved and secured.Its password protected album keeps anyone who I dont want to see my picture out of the problem.I dont have to worry about security because I know its taken care of.Also it helped with the spacing issue on my iPhone.    ,0,0,0,0
213,Its reliable way to keep files and photos    ,0,0,0,0
214,"Had sensitive data stored in this app for a year, and now app will not open to password page. Loved it while it lasted but now my documents are disappeared and to where Who knows Files stored that I can no longer access does not exactly equate to secure.    ",1,0,1,0
215,This is one of the best apps Ive ever used. High satisfied.    ,0,0,0,0
216,Like that I have control of my pictures and important pictures of documents. I recommend it    ,0,0,0,0
217,I don't have any problems having the app It saves my stuff even when I don't have the app on my phone. I love the app. Very useful Ive had it since I was young in age  still keep important stuff in there  it saves everything like iCloud. The iPhone X comes out which mines I will have to download KeepSafe again  I wont have to worry because this amazing app keep my important stuff safe  in the cloud Great app download it ASAP    ,0,0,0,0
218,"it keeps my pictures for about a week then deletes them, then it tells me i have to buy premium to get the all back.     ",1,0,1,0
219,"I love this app. Ive been using it for years and have even recommended it to family friends for storing photos, videos and any other information you dont want to lose. I love that it keeps everything stored and you can login into it from any phone that the app is on and retrieve what you stored.    ",0,0,0,0
220,Won't say what I keep in here but for most young folk I'm sure it's the same type of pictures Does exactly what I need it to do and then some. Thanks Keepsafe    ,0,0,0,0
221,This would be a four to five star app except that it stopped sync hung photos and albums between my iPhone 7 and iPad Air 4. Both running the identical versions.     ,1,1,0,0
222,Customer service responds but never follows through and never has fixed the problem.     ,0,0,0,0
223,Be happy to upgrade if they gave a hoot about a defect in their app.    ,1,0,0,0
224,Great app really good love the safes send feature but there was only one thing that I would change about it. It would be immaculate if you could choose how long the persons able to view the photo therefore not allowing them to have enough time to screenshot it so if you're using the safe sane feature if the person is text savvy they can screenshot it so be careful but I would recommend it any day I love it    ,1,0,0,0
225,The app worked well for a while but now I have to go through two or three game app adds just to access it.  I get that there will be adds on the free version but this quantity is ridiculous and frustrating.     ,1,0,0,0
226,This app is not recognizing my password please help    ,1,0,0,0
227,Its like a lock box of my treasures.    ,0,0,0,0
228,Works as intended easy to use and learn    ,0,0,0,0
229,Well worth it where have you been all my life keep safe     ,0,0,0,0
230,Just downloaded and Im so happy that I did.  I was a member of another app that disappointed to say the least.    ,0,0,0,0
231,I cant believe how much more you get from Keepsafe than from the competitor.    ,0,0,0,0
232,It wont let you import videos and pictures now please fix    ,1,0,0,0
233,Its amazing except theres a file that I continue trying to add that it just wont upload to a folder. So frustrating. Help   ,1,0,1,0
234,Excelente para mantener mis archivos y fotos privadas    ,0,0,0,0
235,Ive always hated I cant keep naughty pictures of my gorgeous lady cause of the kids. This has been a lifesaver    ,0,0,0,0
236,It's a great app I have been using it for a very long time and I miss the shuffle feature that you could have had in the folders.    ,0,0,0,0
237,Easy to use. Free version has plenty of storage.    ,0,0,0,0
238,I've had this app for years but each update brings more bugs and advertisements. Not worthy of your time.     ,1,1,0,0
239,Youve kept photos safe that I need for evidence in a court case thanks    ,0,0,0,0
240,"It also says I have 4,325 out of 5,000. So is there still room Not backing up my photos either.    ",1,0,0,0
241,"When I got a new phone and tried to transfer my storage, I lost all of my videos...I'm dead.    ",1,0,1,0
242,Pretty good app hate the ads buts is free what else to want lol     ,0,0,0,0
243,Emailed numerous times to support. Not one response. Totally outraged. Disgusted and very upset     ,0,0,0,0
244,One of the best apps on my phone    ,0,0,0,0
245,I only want a one time purchase to remove ads and unlimited on device storage. I don't want bells and whistles with a subscription. Missed opportunity for devs.     ,1,0,0,0
246,"This app has helped me a lot, its the best    ",0,0,0,0
247,Wonderful to know that Keepsafe is there    ,0,0,0,0
248,Understand why but why when And the length Dont push to paid version by being obnoxious.     ,0,0,0,0
249,It's ok but not much basic storage     ,0,0,0,0
250,Awesome and innovative app for photo storage    ,0,0,0,0
251,Actually in my area this is not very accurate. I have to rely on other apps. Annoying so fix it.    ,0,0,1,0
252,After using widget for a day or so text gets all jumbled and not able to take a quick glance at current conditions on my iPhone 7 plus.    ,1,0,1,0
253,"Also ever since ios10, where they enhanced their lock screen widget, the widget temperature can be Illegible. Informed accuweather about this weeks ago and it's still not fixed.    ",1,0,0,0
254,App is unable to correctly choose location just let your customer do it. So disappointing    ,0,0,1,0
255,Even a broken clock is right once a day  Deleting this cuz it's a waste of space. Fix the issues first.    ,0,0,1,0
256,"Got a notification from this app suggesting I might need an umbrella today. Went to the app and there was no rain in the forecast. Apparently they just wanted me to open the app, and I consider that spam. Uninstalled.     ",0,0,1,0
257,I am constantly seeing differences in the information being displayed in one section vs. another section. e.g. UV Index might be 2 in one section and 3 in another area. It's like each section is getting it's forecast from a different source.     ,0,0,1,0
258,I got this app about 2 years ago based on friends using it and it was on point for precip temp. Now however it says it's going to rain on the current day forecast but usually says '0' on the weekly forecast     ,0,0,1,0
259,"I have checked out other apps and concluded that AccuWeather is the best in most aspects. I have checked out the accuracy with the other apps and found that all were in agreement. The only thing that makes the temperature inaccurate with all the apps is that I selected Shelton, WA, but they use Olympia which is 16 miles away. Therefore the temperature is a little inaccurate. Overall I am happy with AccuWeather.   ",0,0,1,0
260,I love accuweather. Compared to other weather apps this app has been the most reliable and accurate. However the widget has an annoying bug. It has text doubled over other text and the temperature seems not to be updating regularly. But I'm not entirely sure of that because I cannot read it because there is text over the number.   ,1,0,1,0
261,I would also like to know where it is connected to that it is getting readings from. It is no where close to any of the reading in this area that I live in.    ,0,0,1,0
262,Its a good app but the widget has some bugs on iPhone 7   ,0,0,1,0
263,"Minutecast says no precipitation for 120 minutes, but when I look at hourly it says 59 chance of snow in the next hour.  It had chances of snow between 4060 for a four hour period.  It never did snow during that time.    ",0,0,1,0
264,Not very accurate in eastern Pa. Will show that it's raining but the description says rain starting in 15 minutes. I believe it relies on it's information from airports so the further away you are from that airport the less reliable it will be    ,0,0,1,0
265,"Occasionally the reading for  chance of precipitation and degrees are swapped in error, but quickly switching between them fixes it.     ",0,0,1,0
266,"One annoying thing about this app is that no matter what I do it shows me in a city 35 miles south of where I am, with a mile high mountain in the way the weather is very different.    ",0,0,1,0
267,Reported 2 years ago that it won't keep my location address. Still not tracking right. It's showing weather for my zip code but several miles away on some street at least 2 miles away.    ,0,0,1,0
268,"So if you want a really good looking weather app, this is it. In terms of actually forecasting the weather, the summaries are a bit too sparse.  In terms of general quality, it's below average, because the widget problem should have been caught in development  it's that obvious if you use it for a while.     ",1,0,0,0
269,"The AccuWeather app used to be quite accurate, but a year or two ago changes were made which have greatly deteriorated the quality of the forecasts.  Even with a specific address in place the Minutecast shows rain when it is not raining and no rain or coloration on the map when it is.  The temperatures are off by 810 degrees.  The wind speed is accurate only part of the time.  The new app is also less user friendly.  I use the old one to check on the month as a whole but that's about it.  This app serves for a very general picture if the weather... hot, cold, windy .... but it does not reflect actual weather anymore then the NOAA does.  I find that Weather Underground is the most reliable and specific weather app here in Rio Rancho, NM.    ",0,0,1,0
270,"The app is very accurate but the only thing that bothers me is when there is rain in the forecast. Usually it will say there's a 50 chance of rain, sometimes it can be frustrating when trying to plan a work day outdoors. Besides the the projected future forecast seem to be fairly accurate up to a week or so and it's very helpful.    ",0,0,1,0
271,"The bad thing is that the daily forecast summary is pretty sparse.  Some might think that this is a good thing. But it can be off.  For example tomorrow's forecast calls for Mostly cloudy with a shower. Problem is that according to all of the local TV news forecasts, what is really going to happen is Passing cold front in the morning, bringing a chance of light sprinkles and or snow flurries in the early morning to late morning. Clearing in the afternoon.     ",0,0,1,0
272,The weather now is rarely accurate. Quite frustrating. Temperature is often wrong. This is unacceptable and needs 2 be fixed immediately    ,0,0,1,0
273,"This app has constant bugs and misinformation. It will say rain when there is no rain, temps are off, forecast inaccurate. Next    ",0,0,1,0
